File Name,Record Number,NARA Release Date,Formerly Withheld,Agency,Document Date,Document Type,File Number,To Name,From Name,Title,Number of Pages,Originator,Record Series,Review Date,Comments,Pages Released,URL
2018/104-10331-10278.pdf,104-10331-10278,04/26/2018,Redact,CIA,08/27/1992,PAPER-TEXTUAL DOCUMENT,PROJFILES-CORRESPONDENCE,NONE,WITHHELD,"MEMOS AND LETTERS TRANSFERRING DOCUMENTS FROM CIA TO ARRB OR NARA, 1992-2",215,CIA,JFK,3/12/18,JFK-M-16 : F14 : 20040114-1034955 :,215,https://www.archives.gov/files/research/jfk/releases/2018/104-10331-10278.pdf
2018/104-10331-10290.pdf,104-10331-10290,04/26/2018,Redact,CIA,05/13/1993,PAPER-TEXTUAL DOCUMENT,PROJFILES-CORRESPONDENCE,JFK ASSASSINATION FILE REVIEW,FRANK,NOTE: COORDINATION WITH OFFICE OF CONGRESSIONAL AFFAIRS,1,CIA,JFK,3/12/18,JFK-M-16 : F13 : 2000.02.11.07:09:01:357035 :,1,https://www.archives.gov/files/research/jfk/releases/2018/104-10331-10290.pdf
2018/104-10331-10298.pdf,104-10331-10298,04/26/2018,Redact,CIA,03/28/1994,PAPER-TEXTUAL DOCUMENT,PROJFILES-CORRESPONDENCE,,FRANK,MEMO: MEETING WITH O/S OFFICIALS REGARDING AMMUG POLY,1,CIA,JFK,3/12/18,JFK-M-16 : F13 : 2000.02.11.07:43:47:560035 :,1,https://www.archives.gov/files/research/jfk/releases/2018/104-10331-10298.pdf
2018/104-10331-10300.pdf,104-10331-10300,04/26/2018,Redact,CIA,5/10/94,PAPER-TEXTUAL DOCUMENT,PROJFILES-CORRESPONDENCE,BARRY,JOHN P,"NOTE: CALL FROM JACK TUNHEIM, CHAIRMAN JFK ASSASSINATION BOARD",1,CIA,JFK,3/12/18,JFK-M-16 : F13 : 2000.02.11.07:48:52:937035 :,1,https://www.archives.gov/files/research/jfk/releases/2018/104-10331-10300.pdf
2018/104-10331-10303.pdf,104-10331-10303,04/26/2018,Redact,CIA,08/17/1994,PAPER-TEXTUAL DOCUMENT,PROJFILES-CORRESPONDENCE,C/HRG,BARRY,MEMO: STATUS OF DCI MORNING MINUES,11,CIA,JFK,3/12/18,JFK-M-16 : F13 : 2000.02.11.08:00:30:733035 :,11,https://www.archives.gov/files/research/jfk/releases/2018/104-10331-10303.pdf
2018/104-10331-10308.pdf,104-10331-10308,04/26/2018,Redact,CIA,01/23/1995,PAPER-TEXTUAL DOCUMENT,PROJFILES-CORRESPONDENCE,,,"BRIEFING-ARP OFFSITE, 23-24 JANUARY 1995",4,CIA,JFK,3/12/18,JFK-M-16 : F13 : 2000.02.11.08:32:20:090054 : 3 PG OUTLINE W/LOTUS NOTE ATT,4,https://www.archives.gov/files/research/jfk/releases/2018/104-10331-10308.pdf
2018/104-10331-10309.pdf,104-10331-10309,04/26/2018,Redact,CIA,02/20/1995,PAPER-TEXTUAL DOCUMENT,PROJFILES-CORRESPONDENCE,JOHN F. PEREIRA @ DA,WITHHELD,NOTE: IDAIDS,2,CIA,JFK,3/12/18,JFK-M-16 : F13 : 2000.02.11.08:36:49:937054 :,2,https://www.archives.gov/files/research/jfk/releases/2018/104-10331-10309.pdf
2018/104-10331-10310.pdf,104-10331-10310,04/26/2018,Redact,CIA,02/24/1995,PAPER-TEXTUAL DOCUMENT,PROJFILES-CORRESPONDENCE,JOHN F. PEREIRA@DA,FENTON BABCOCK,L-NOTE: ARRB PROPOSED INTERPRETIVE REGULATION,1,CIA,JFK,3/12/18,JFK-M-16 : F13 : 2000.02.11.08:42:07:653054 :,1,https://www.archives.gov/files/research/jfk/releases/2018/104-10331-10310.pdf
2018/104-10331-10312.pdf,104-10331-10312,04/26/2018,Redact,CIA,5/12/95,PAPER-TEXTUAL DOCUMENT,PROJFILES-CORRESPONDENCE,,,DRAFT NOTE FROM PRE-MEETING - 12 MAY 1995,5,CIA,JFK,3/12/18,JFK-M-16 : F13 : 2000.02.11.09:09:00:373054 :,5,https://www.archives.gov/files/research/jfk/releases/2018/104-10331-10312.pdf
2018/104-10331-10314.pdf,104-10331-10314,04/26/2018,Redact,CIA,6/6/95,PAPER-TEXTUAL DOCUMENT,PROJFILES-CORRESPONDENCE,MEMO FOR FILE,BARRY HARRELSON,"MEMO: ARRB REQUEST RE ""SLUG LINE"" DELETIONS",1,CIA,JFK,3/12/18,JFK-M-16 : F13 : 2000.02.11.09:18:00:013054 :,1,https://www.archives.gov/files/research/jfk/releases/2018/104-10331-10314.pdf
2018/104-10331-10315.pdf,104-10331-10315,04/26/2018,Redact,CIA,07/27/1995,PAPER-TEXTUAL DOCUMENT,PROJFILES-CORRESPONDENCE,MEMO FOR THE RECORD,BARRY HARRELSON,WITHHELD; MEMO FOR THE RECORD,1,CIA,JFK,3/12/18,JFK-M-16 : F13 : 2000.02.11.09:23:31:357054 :,1,https://www.archives.gov/files/research/jfk/releases/2018/104-10331-10315.pdf
2018/104-10331-10316.pdf,104-10331-10316,04/26/2018,Redact,CIA,9/11/95,PAPER-TEXTUAL DOCUMENT,PROJFILES-CORRESPONDENCE,,,"NOTES FROM MEETING W/ARRB STAFF SEPT. 11, 1995 (WORKING PAPER)",3,CIA,JFK,3/12/18,JFK-M-16 : F13 : 2000.02.11.09:31:05:467054 :,3,https://www.archives.gov/files/research/jfk/releases/2018/104-10331-10316.pdf
2018/104-10331-10317.pdf,104-10331-10317,04/26/2018,Redact,CIA,09/27/1995,PAPER-TEXTUAL DOCUMENT,PROJFILES-CORRESPONDENCE,HRG AND DO REVIEWERS,BARRY HARRELSON,"NOTE: PHONE CALL FROM BILL MCNAIR, 21 SEPTEMBER, 1995, RE AM CRYPTS",1,CIA,JFK,3/12/18,JFK-M-16 : F13 : 2000.02.11.09:37:38:123054 :,1,https://www.archives.gov/files/research/jfk/releases/2018/104-10331-10317.pdf
2018/104-10331-10318.pdf,104-10331-10318,04/26/2018,Redact,CIA,10/11/95,PAPER-TEXTUAL DOCUMENT,PROJFILES-CORRESPONDENCE,,BARRY HARRELSON,WORKING PAPER: NOTES FROM BRIEFING OF ARRB STAFF ON STATIONS,1,CIA,JFK,3/12/18,JFK-M-16 : F13 : 2000.02.11.10:14:26:357054 :,1,https://www.archives.gov/files/research/jfk/releases/2018/104-10331-10318.pdf
2018/104-10331-10319.pdf,104-10331-10319,04/26/2018,Redact,CIA,10/18/1995,PAPER-TEXTUAL DOCUMENT,PROJFILES-CORRESPONDENCE,NOTE FOR THE RECORD,JOHN PEREIRA,MEMO: JFK BOARD/ANN GOODPASTURE,1,CIA,JFK,3/12/18,JFK-M-16 : F13 : 2000.02.11.10:19:32:390054 :,1,https://www.archives.gov/files/research/jfk/releases/2018/104-10331-10319.pdf
2018/104-10331-10320.pdf,104-10331-10320,04/26/2018,Redact,CIA,11/9/95,PAPER-TEXTUAL DOCUMENT,PROJFILES-CORRESPONDENCE,MEMO FOR THE RECORD,FRANK S. MOST CSI/HRG,MEMO: OCA JOB NO. 8T1614R,1,CIA,JFK,3/12/18,JFK-M-16 : F13 : 2000.02.11.10:34:06:687054 :,1,https://www.archives.gov/files/research/jfk/releases/2018/104-10331-10320.pdf
2018/104-10331-10321.pdf,104-10331-10321,04/26/2018,Redact,CIA,11/13/1995,PAPER-TEXTUAL DOCUMENT,PROJFILES-CORRESPONDENCE,MEMO FOR THE RECORD,BARRY HARRELSON,MEMO: RELEASE OF STATIONS AND BASES,1,CIA,JFK,3/12/18,JFK-M-16 : F13 : 2000.02.11.14:36:13:450054 :,1,https://www.archives.gov/files/research/jfk/releases/2018/104-10331-10321.pdf
2018/104-10331-10322.pdf,104-10331-10322,04/26/2018,Redact,CIA,11/20/1995,PAPER-TEXTUAL DOCUMENT,PROJFILES-CORRESPONDENCE,MERMO FOR THE FILE,JOHN PEREIRA,MEMO: ADDO BRIEFING OF JFK BOARD,1,CIA,JFK,3/12/18,JFK-M-16 : F13 : 2000.02.11.14:40:37:450054 :,1,https://www.archives.gov/files/research/jfk/releases/2018/104-10331-10322.pdf
2018/104-10331-10324.pdf,104-10331-10324,04/26/2018,Redact,CIA,12/14/1995,PAPER-TEXTUAL DOCUMENT,PROJFILES-CORRESPONDENCE,MEMO FOR THE RECORD,BARRY HARRELSON,ARRB DECISIONS AT DECEMBER 12/13 MEETING,1,CIA,JFK,3/12/18,JFK-M-16 : F13 : 2000.02.11.14:55:04:153054 :,1,https://www.archives.gov/files/research/jfk/releases/2018/104-10331-10324.pdf
2018/104-10331-10326.pdf,104-10331-10326,04/26/2018,Redact,CIA,1/11/96,PAPER-TEXTUAL DOCUMENT,PROJFILES-CORRESPONDENCE,MEMO FOR THE RECORD,BARRY HARRELSON,MEMO: ARRB ISSUES/REQUEST - MEETING WITH ARRB STAFF 5 JANUARY 1996,1,CIA,JFK,3/12/18,JFK-M-16 : F13 : 2000.02.14.07:23:34:747054 :,1,https://www.archives.gov/files/research/jfk/releases/2018/104-10331-10326.pdf
2018/104-10331-10329.pdf,104-10331-10329,04/26/2018,Redact,CIA,2/1/96,PAPER-TEXTUAL DOCUMENT,PROJFILES-CORRESPONDENCE,,BARRY HARRELSON,JFK WORKING NOTES: ARRB REQUESTS,5,CIA,JFK,3/12/18,JFK-M-16 : F13 : 2000.02.14.07:39:47:640054 :,5,https://www.archives.gov/files/research/jfk/releases/2018/104-10331-10329.pdf
2018/104-10331-10330.pdf,104-10331-10330,04/26/2018,Redact,CIA,2/7/96,PAPER-TEXTUAL DOCUMENT,PROJFILES-CORRESPONDENCE,NOTE FOR THE RECORD,BARRY HARRELSON,MEMO: JFK-PACKAGE FROM FORD LIBRARY,6,CIA,JFK,3/12/18,JFK-M-16 : F13 : 2000.02.14.07:44:12:717054 :,6,https://www.archives.gov/files/research/jfk/releases/2018/104-10331-10330.pdf
2018/104-10331-10332.pdf,104-10331-10332,04/26/2018,Redact,CIA,2/12/96,PAPER-TEXTUAL DOCUMENT,PROJFILES-CORRESPONDENCE,,BARRY HARRELSON,"JFK WORKING NOTES: TOPIC/ISSUES DISCUSSED AT MEETING WITH J. GUNN AND ARRB STAFF, 1 FEBRUARY 1996",1,CIA,JFK,3/12/18,JFK-M-16 : F13 : 2000.02.14.08:13:17:170054 :,1,https://www.archives.gov/files/research/jfk/releases/2018/104-10331-10332.pdf
2018/104-10331-10333.pdf,104-10331-10333,04/26/2018,Redact,CIA,02/20/1996,PAPER-TEXTUAL DOCUMENT,PROJFILES-CORRESPONDENCE,,,"TIMELINES FOR ARRB DETERMINATIONS - ARRB ""DETERMINATION DOCUMENTS"" UNDER APPEAL",4,CIA,JFK,3/12/18,JFK-M-16 : F13 : 2000.02.14.08:19:56:170054 :,4,https://www.archives.gov/files/research/jfk/releases/2018/104-10331-10333.pdf
