"release","filename","url"
"2021","DOCID-32344351.pdf","https://www.archives.gov/files/research/jfk/releases/2021/DOCID-32344351.pdf"
"2021","DOCID-32344459.pdf","https://www.archives.gov/files/research/jfk/releases/2021/DOCID-32344459.pdf"
"2021","DOCID-32345040.pdf","https://www.archives.gov/files/research/jfk/releases/2021/DOCID-32345040.pdf"
"2021","DOCID-32345043.pdf","https://www.archives.gov/files/research/jfk/releases/2021/DOCID-32345043.pdf"
"2021","DOCID-32345388.pdf","https://www.archives.gov/files/research/jfk/releases/2021/DOCID-32345388.pdf"
"2021","DOCID-32345399.pdf","https://www.archives.gov/files/research/jfk/releases/2021/DOCID-32345399.pdf"
"2021","DOCID-32345423.pdf","https://www.archives.gov/files/research/jfk/releases/2021/DOCID-32345423.pdf"
"2021","DOCID-32345431.pdf","https://www.archives.gov/files/research/jfk/releases/2021/DOCID-32345431.pdf"
"2021","DOCID-32345490.pdf","https://www.archives.gov/files/research/jfk/releases/2021/DOCID-32345490.pdf"
"2021","DOCID-32345571.pdf","https://www.archives.gov/files/research/jfk/releases/2021/DOCID-32345571.pdf"
"2021","DOCID-32345613.pdf","https://www.archives.gov/files/research/jfk/releases/2021/DOCID-32345613.pdf"
"2021","DOCID-32345620.pdf","https://www.archives.gov/files/research/jfk/releases/2021/DOCID-32345620.pdf"
"2021","DOCID-32345629.pdf","https://www.archives.gov/files/research/jfk/releases/2021/DOCID-32345629.pdf"
"2021","DOCID-32345770.pdf","https://www.archives.gov/files/research/jfk/releases/2021/DOCID-32345770.pdf"
"2021","DOCID-32345858.pdf","https://www.archives.gov/files/research/jfk/releases/2021/DOCID-32345858.pdf"
"2021","DOCID-32345891.pdf","https://www.archives.gov/files/research/jfk/releases/2021/DOCID-32345891.pdf"
"2021","DOCID-32346026.pdf","https://www.archives.gov/files/research/jfk/releases/2021/DOCID-32346026.pdf"
"2021","DOCID-32346028.pdf","https://www.archives.gov/files/research/jfk/releases/2021/DOCID-32346028.pdf"
"2021","DOCID-32346081.pdf","https://www.archives.gov/files/research/jfk/releases/2021/DOCID-32346081.pdf"
